A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26
-1.0577,0.29188,-1.05328,-0.1647,-1.14401,0.54413,2.3651,-1.71436,0.34499,-0.91707,1.34777,0.03413,-1.30595,-0.21908,-1.43815,0.12291,17,26,20,21,22,3,23,9,14,6,19,7,13,16,25,10,12,18,8,1,4,5,11,24,2,15
0.51038,1.50236,-1.05328,0.71973,-0.68748,1.5313,-1.07533,0.13756,-0.49507,1.89597,-1.31281,0.51476,-0.44849,-0.21908,0.12008,1.35944,4,17,21,9,10,16,12,13,11,1,6,3,22,19,20,18,5,8,2,23,15,24,26,14,25,7
-0.01231,1.19974,0.43591,1.16195,1.13867,1.5313,-0.64527,-0.97359,0.34499,0.69038,-1.31281,-0.44651,-0.01976,-0.86563,-0.26948,0.74118,8,9,24,1,14,17,19,6,18,4,7,10,13,15,20,22,12,3,5,21,16,23,26,2,25,11
1.55577,1.19974,0.43591,0.27751,-0.23094,-0.93663,0.64489,-0.23282,0.34499,-1.7208,-0.93272,0.9954,1.26642,1.07401,-0.65904,0.12291,22,23,4,19,10,21,6,7,26,24,3,8,5,1,20,17,12,14,15,13,2,9,18,16,11,25
-1.0577,-1.82646,-1.05328,-1.93357,-1.14401,0.54413,-0.64527,0.50794,0.34499,-0.91707,-0.55264,0.51476,-0.87722,-0.86563,0.50964,1.35944,18,6,15,13,8,21,1,14,7,11,12,10,20,22,5,23,2,3,4,19,17,25,26,16,24,9
-0.01231,1.19974,-0.06049,1.16195,-0.23094,0.54413,0.21483,0.50794,1.60509,-1.31893,-0.17256,-0.92715,-1.30595,-0.21908,2.06787,-0.49535,24,4,13,5,3,20,7,8,6,14,15,9,22,23,18,21,10,16,1,12,19,25,26,11,17,2
-0.01231,-1.52384,-0.06049,-0.60692,0.2256,0.54413,-0.21522,0.50794,0.34499,-0.51521,-0.17256,-0.92715,-0.44849,-0.21908,1.28876,1.35944,24,1,15,3,5,18,4,9,13,16,12,14,22,21,10,19,7,6,2,17,20,25,26,11,23,8
-1.58039,-1.82646,-1.05328,-1.49135,-1.14401,0.54413,-2.36548,-0.97359,-1.33514,-0.11335,-1.69289,0.03413,-0.87722,-1.51217,-0.65904,-0.49535,1,24,26,14,23,12,15,8,18,2,11,3,6,16,19,20,5,7,4,13,9,17,22,21,25,10
-1.0577,-1.52384,-0.55688,-0.60692,-0.68748,1.5313,-0.64527,-0.97359,0.34499,1.49411,-0.93272,0.03413,-0.87722,-1.51217,-1.04859,-0.49535,3,15,21,6,16,11,20,8,7,1,9,2,17,19,22,24,18,13,4,12,14,23,26,5,25,10
3.64655,2.41022,3.91068,1.60416,1.59521,3.01207,-2.36548,0.50794,-1.33514,1.49411,-2.07297,0.51476,2.12387,-4.74489,-1.04859,0.12291,2,19,20,17,22,15,14,11,26,7,4,3,1,9,25,23,5,6,10,13,12,16,8,18,24,21
-0.535,0.5945,-0.06049,0.71973,0.2256,0.54413,-0.21522,-0.60321,1.18506,-1.31893,-0.17256,0.03413,-0.44849,-0.21908,0.8992,-0.49535,23,7,17,6,4,21,10,8,5,18,11,12,22,20,15,24,9,13,3,16,14,25,26,1,19,2
