A1,A2,A3,A4,A5,A6,A7,A8,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10
0.58198,0.88848,-0.34665,-0.9572,-0.09759,-0.09913,-0.34418,-0.52792,9,10,2,3,6,7,4,5,8,1
-0.51089,1.37281,-0.23123,0.06431,-0.09759,-0.09913,0.52122,-0.52792,9,10,2,8,6,5,3,4,7,1
1.01913,0.9692,-0.11581,-0.81127,-0.09759,-0.09913,0.52122,-0.52792,9,10,2,3,6,8,4,5,7,1
0.58198,-0.48379,0.80754,-0.9572,-0.09759,-0.09913,0.6943,-0.52792,8,10,2,9,6,7,4,3,5,1
-0.58375,-0.48379,-0.23123,2.03438,-0.09759,-0.09913,-0.34418,-0.52792,8,10,3,9,5,7,2,4,6,1
0.07197,-0.80667,0.69212,-0.66534,-0.09759,6.50963,-0.1711,-0.52792,3,4,5,6,7,8,2,9,1,10
-0.00088,0.32343,-0.23123,2.83699,-0.09759,-0.09913,0.52122,-0.52792,8,10,3,6,4,9,1,5,7,2
-0.1466,-0.40306,1.03838,-0.44645,-0.09759,-0.09913,1.38661,0.59932,5,10,8,9,4,7,3,2,6,1
0.36341,0.00054,1.84631,0.721,-0.09759,-0.09913,-0.1711,-0.52792,7,10,2,8,5,9,3,4,6,1
-0.72947,-0.88739,1.1538,-0.81127,-0.09759,-0.09913,1.38661,0.22357,6,10,8,9,5,7,3,2,4,1
-0.51089,-0.88739,0.46129,-0.37348,-0.09759,-0.09913,0.52122,-0.05824,8,10,4,9,7,5,3,2,6,1
-0.58375,-1.04884,1.03838,-0.44645,-0.09759,-0.09913,0.34814,0.12964,8,10,5,9,7,6,3,2,4,1
-0.72947,-0.64523,0.80754,0.64803,-0.09759,-0.09913,0.52122,-0.24611,8,10,2,9,6,7,4,3,5,1
0.7277,-0.80667,0.23045,1.45065,-0.09759,-0.09913,0.52122,-0.52792,9,10,2,8,5,7,3,4,6,1
1.16485,0.40415,-0.57748,-0.51941,-0.09759,-0.09913,-0.69033,-0.52792,9,10,1,3,5,7,4,6,8,2
