A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,5.61249,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,2.18581,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-0.32687,-1.57329,11,1,2,3,4,5,6,12,7,8,13,14,9,10,15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,2.18581,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-1.43255,-1.28594,1,2,3,9,10,11,4,5,6,12,13,7,8,14,15
-0.40733,0.40733,-0.38128,-0.28868,4.75777,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,7.14143,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-1.21043,0.53086,10,1,11,12,2,3,13,4,5,14,6,7,8,9,15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,11.35782,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,8.0,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,0.99815,-0.34806,-0.18196,1,5,6,7,2,3,8,9,10,11,13,4,14,12,15
2.455,-2.455,-0.38128,-0.28868,-0.21018,5.61249,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,4.19183,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,2.1354,0.63974,1.25085,1,2,3,4,5,6,7,8,9,10,11,12,15,13,14
-0.40733,0.40733,-0.38128,3.4641,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,11.35782,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,-1.15956,0.71862,9,1,10,2,3,4,5,6,7,11,12,13,14,15,8
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,2.71792,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,4.54606,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,1.2166,0.03406,10,1,2,3,11,4,5,6,7,8,12,13,9,14,15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,4.75777,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,4.19183,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.13909,0.34156,1.11201,6,1,7,2,8,9,3,4,10,11,12,13,14,15,5
-0.40733,0.40733,2.62274,-0.28868,-0.21018,-0.17817,-0.4819,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,6.01189,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,-0.29642,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,0.16332,-0.62994,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.40733,0.40733,-0.38128,-0.28868,-0.21018,-0.17817,2.07512,-0.10804,-0.17817,-0.36793,-0.08805,-0.125,-0.08805,-0.21018,-0.22942,-0.17817,-0.22942,-0.29642,-0.10804,-0.14003,-0.24744,-0.125,-0.4575,-0.16634,-0.15369,-0.06214,-0.08805,-0.16634,-0.14003,-0.06214,3.37357,-0.06214,-0.125,-0.06214,-0.06214,-0.23856,-0.15369,-0.08805,-0.16634,-0.21997,-0.06214,-0.14003,-0.10804,-0.08805,-0.15369,-0.08805,-0.23856,-0.17817,-0.125,-0.15369,-0.17817,-0.06214,-0.08805,-0.06214,-0.06214,-0.22942,-0.08805,-0.22942,-0.23856,-0.15369,-0.06214,-0.93517,0.17754,0.31796,1,2,3,4,5,6,13,7,14,8,15,9,10,11,12
