A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4,L5,L6,L7
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8247422680412372,0.7313432835820896,0.1553001277139208,0.5142621599340479,0.6202828122605359,0.2448979591836734,0.3042505592841163,0.4526689360469326,3.0,3.0,3.0,3.0,1.0,2.0,3.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8608247422680413,0.5970149253731343,0.1475095785440613,0.1061830173124484,0.3970668521390973,1.0,1.0,0.0117693923372202,6.0,1.0,3.0,5.0,2.0,7.0,4.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8350515463917526,0.8507462686567163,0.1022222222222222,0.4394064303380049,0.3720269471887458,0.2931008746355685,0.3347776465324384,0.1412327080466429,3.0,1.0,4.0,5.0,5.0,5.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8319587628865981,0.3582089552238806,0.1976091954022988,0.1897774113767518,0.1053643720992455,0.1426985422740525,0.2482326621923937,0.0126747302093141,3.0,1.0,2.0,5.0,4.0,5.0,4.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8309278350515465,0.6716417910447761,0.1413793103448276,0.8586974443528442,0.2507960090402893,0.1357947521865889,0.1746398210290827,0.0950604765698558,1.0,4.0,2.0,6.0,2.0,3.0,5.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8505154639175259,0.9776119402985074,0.1679438058748403,0.7624072547403132,0.461456071404897,0.0425655976676384,0.1014174496644295,0.2571159556746577,2.0,3.0,6.0,7.0,1.0,4.0,5.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8402061855670104,0.7686567164179104,0.1871008939974457,0.1265457543281121,0.1180469019872992,0.1428571428571428,0.2,0.0289708119070036,5.0,6.0,4.0,3.0,2.0,1.0,7.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.829896907216495,0.7910447761194029,0.1508735632183908,0.4113767518549052,0.2207123033771899,0.1041795918367347,0.1385843400447427,0.0624683131744767,1.0,4.0,5.0,5.0,3.0,2.0,5.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8969072164948454,0.253731343283582,0.056066411238825,0.0730420445177246,0.1102665379926817,0.0846647230320699,0.127069351230425,0.0501919316288838,1.0,2.0,3.0,4.0,4.0,4.0,4.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8175257731958763,0.7388059701492536,0.020434227330779,0.1145919208573783,0.0062242911956939,0.0635568513119533,0.083400447427293,0.0072427029767509,1.0,4.0,4.0,2.0,4.0,4.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7938144329896908,0.7611940298507461,0.020434227330779,0.1258862324814509,0.0231489974797093,0.029737609329446,0.0371364653243847,0.0072427029767509,1.0,4.0,4.0,4.0,3.0,4.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7680412371134021,0.8731343283582088,0.0221966794380587,0.1309150865622423,0.0197771486974903,0.0248793002915451,0.0340044742729306,0.0054320272325631,1.0,3.0,3.0,3.0,3.0,3.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.797938144329897,0.7164179104477612,0.0127713920817369,0.1008244023083264,0.0292820706147767,0.0279883381924198,0.0304250559284116,0.3711885275584848,1.0,4.0,2.0,4.0,3.0,4.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7958762886597939,0.8805970149253731,0.0160919540229885,0.1211871393239901,0.0085852292354399,0.0373177842565597,0.0268456375838926,0.0045266893604693,1.0,5.0,3.0,6.0,4.0,6.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8144329896907218,0.7164179104477612,0.0076628352490421,0.1193734542456718,0.0495796988346656,0.0303206997084548,0.1102460850111856,0.0027160136162815,1.0,3.0,2.0,5.0,4.0,5.0,5.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7783505154639175,0.8582089552238805,0.0120051085568326,0.1088211046990931,0.0158290164028423,0.0099125364431486,0.1758389261744966,0.0099587165930325,1.0,3.0,2.0,3.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8020618556701031,0.8955223880597014,0.0178799489144316,0.1170651277823577,0.0368445844175449,0.043538192419825,0.0894854586129754,0.0099587165930325,1.0,3.0,3.0,2.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7845360824742269,0.7313432835820896,0.0178799489144316,0.1189612530915086,0.0336251234542549,0.0466472303206997,0.1035042505592841,0.0036213514883754,1.0,7.0,5.0,4.0,2.0,6.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7577319587628866,0.7761194029850745,0.0178799489144316,0.1416323165704864,0.0525845290670696,0.0967930029154519,0.1100671140939597,0.0072427029767509,1.0,7.0,2.0,4.0,5.0,3.0,6.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7422680412371134,0.6865671641791044,0.0020434227330779,0.0529266281945589,0.0869254460088294,0.0363848396501457,0.0322147651006711,0.0045266893604693,1.0,3.0,3.0,2.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7989690721649485,0.7686567164179104,0.0840868454661558,0.2425391591096455,0.0450724534860597,0.0373177842565597,0.0715883668903803,0.0688056782791337,2.0,4.0,4.0,4.0,1.0,3.0,4.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7855670103092784,0.6343283582089552,0.0303116219667943,0.1413849958779884,0.2235733095568271,0.0069970845481049,0.0492170022371364,0.0153907438255957,1.0,3.0,3.0,2.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8082474226804124,0.7014925373134328,0.0280332056194125,0.1244847485572959,0.0134144206803749,0.0069970845481049,0.0205816554809843,0.0135800680814079,1.0,2.0,6.0,3.0,6.0,5.0,4.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8010309278350516,0.798507462686567,0.0320204342273307,0.3277823577906018,0.0627794887841545,0.0209912536443148,0.0789906040268456,0.0271601361628159,3.0,4.0,4.0,4.0,2.0,1.0,4.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7309278350515465,0.626865671641791,0.0268199233716475,0.12959604286892,0.0300483023240398,0.0093294460641399,0.0243400447427293,0.0045266893604693,1.0,3.0,3.0,2.0,3.0,3.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7010309278350516,0.8283582089552238,0.0229885057471264,0.0519373454245671,0.0214630730885998,0.0093294460641399,0.0,0.0244441225465343,1.0,3.0,5.0,5.0,2.0,4.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8247422680412372,0.7313432835820896,0.0408684546615581,0.0601813685078318,0.0214630730885998,0.0606413994169096,0.0805369127516778,0.0072427029767509,2.0,4.0,1.0,4.0,4.0,4.0,3.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.7422680412371134,0.8432835820895522,0.0229885057471264,0.0189612530915086,0.1287784385315991,0.0279883381924198,0.0340044742729306,0.0045266893604693,1.0,3.0,2.0,4.0,4.0,4.0,4.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7628865979381444,0.9328358208955224,0.0332056194125159,0.2745259686727123,0.0643892192657995,0.1679300291545189,0.2541387024608501,0.0443615557325994,4.0,1.0,5.0,6.0,3.0,2.0,6.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8350515463917526,0.7686567164179104,0.0664112388250319,0.3116240725474031,0.0643892192657995,0.5737609329446064,0.5440715883668904,0.0253494604186282,3.0,2.0,1.0,6.0,4.0,6.0,5.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8041237113402062,0.8432835820895522,0.0512975734355044,0.2489694971145919,0.0531211058942846,0.1236151603498542,0.2340044742729306,0.0525095965814441,6.0,3.0,4.0,6.0,2.0,1.0,5.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8556701030927837,0.8134328358208954,0.0029885057471264,0.060593569661995,0.0144875743348049,0.0037900874635568,0.0053691275167785,0.0018106757441877,1.0,2.0,2.0,2.0,2.0,2.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8247422680412372,0.0,0.0037037037037037,0.0667765869744435,0.0107315365442999,0.0058309037900874,0.0053691275167785,0.0027160136162815,1.0,2.0,2.0,2.0,2.0,2.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8556701030927837,0.6641791044776119,0.0526819923371647,0.2814509480626546,0.2454838984508608,0.4585889212827988,0.4532438478747204,0.1115376258419642,5.0,1.0,3.0,4.0,6.0,6.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.8350515463917526,0.7835820895522387,0.0569246487867177,0.3356141797197032,0.1916330588031004,0.425469387755102,0.4568769574944071,0.0810911132034475,3.0,2.0,4.0,1.0,2.0,5.0,5.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8247422680412372,0.4104477611940298,0.1966794380587484,0.502555647155812,0.1318369264467246,0.3351836967930029,0.5297539149888143,0.033497501267473,5.0,3.0,1.0,4.0,5.0,5.0,2.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8402061855670104,0.5298507462686567,0.1384163473818646,0.3156636438582028,0.694942122730767,0.1386099125364431,0.3132814496644295,0.1195045991163902,5.0,5.0,5.0,3.0,2.0,1.0,4.0
