caseid,linksrechts_parteien_1,linksrechts_parteien_2,linksrechts_parteien_3,linksrechts_parteien_4,linksrechts_parteien_5,linksrechts_parteien_6,linksrechts_selbst,erststimme_BTW21,zweitstimme_BTW21,coalition_1,coalition_2,coalition_3,coalition_4,coalition_5,coalition_6,coalition_7,coalition_8,coalition_9,klimawandel_parteien_1,klimawandel_parteien_2,klimawandel_parteien_3,klimawandel_parteien_4,klimawandel_parteien_5,klimawandel_parteien_6,klimawandel_parteien_7,klimawandel_selbst,immigration_parteien_1,immigration_parteien_2,immigration_parteien_3,immigration_parteien_4,immigration_parteien_5,immigration_parteien_6,immigration_parteien_7,immigration_selbst,corona_parteien,kandidateneinstufungen_1,kandidateneinstufungen_2,kandidateneinstufungen_3,kandidateneinstufungen_4,kandidateneinstufungen_5,kandidateneinstufungen_6,education_paul_recode,age,WestOst,hinc,Pos. of LINKE in Ranking,Pos. of GRUENE in Ranking,Pos. of SPD in Ranking,Pos. of CDU/CSU in Ranking,Pos. of FDP in Ranking,Pos. of AFD in Ranking
50.0,6,6,6,6,6,2,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,4,5,6,7,-3,-2,3,-2,-2,-2,-2,2,49.0,WEST,3,6,3,1,4,5,2
65.0,4,4,5,7,5,7,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,1,4,1,1,1,2,5,5,7,6,3,7,1,4,4,4,5,5,1,4,1,1,7,5,4,-5,5,-3,3,3,-3,3,68.0,WEST,3,3,2,1,4,5,6
84.0,8,8,4,6,5,3,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,3,2,1,1,4,4,4,5,5,3,5,2,4,6,2,5,5,4,3,3,4,7,3,-2,-1,1,0,-1,0,-2,6,37.0,WEST,11,4,2,1,5,3,6
198.0,7,7,6,7,8,10,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,3,2,2,1,1,4,3,3,5,5,5,4,3,3,2,6,3,3,1,3,3,5,6,7,-3,3,4,1,3,1,2,5,82.0,WEST,977,5,4,1,2,3,6
233.0,7,8,7,7,4,5,7,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,5,4,5,4,4,4,4,2,4,7,4,5,5,5,5,3,2,7,5,2,-5,5,2,1,2,2,2,63.0,WEST,6,4,3,1,5,2,6
251.0,7,7,6,6,5,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,2,2,2,1,1,4,3,4,4,5,4,4,2,3,977,6,5,5,4,5,3,3,7,4,0,-5,2,-1,2,2,2,5,54.0,WEST,5,4,3,1,5,2,6
358.0,6,7,4,6,5,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,2,2,2,1,1,4,3,4,4,5,3,5,2,4,7,4,4,4,3,4,3,5,7,4,2,-2,3,1,0,2,1,2,52.0,WEST,3,5,2,1,4,3,6
423.0,5,4,4,5,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,4,1,2,1,1,2,2,2,5,5,5,5,1,3,7,5,3,5,4,4,2,1,7,6,4,-2,5,-5,5,-3,1,6,73.0,OST,6,4,5,1,2,3,6
426.0,8,9,3,8,4,2,3,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,2,2,2,4,4,2,3,1,5,5,4,6,1,1,5,5,6,6,4,5,1,1,7,4,3,1,2,-4,3,2,-3,4,57.0,WEST,11,1,6,2,3,5,4
441.0,8,8,3,7,4,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON DIE LINKE,SPD,2,1,2,1,1,1,4,5,5,5,5,4,6,1,2,7,4,4,4,3,5,1,2,7,4,2,-1,5,-2,-5,1,-3,4,56.0,OST,5,2,3,1,5,4,6
456.0,8,8,4,6,6,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,4,3,3,3,1,1,5,3,5,7,7,4,6,1,1,977,1,7,7,4,977,1,1,7,1,-3,-2,5,3,-2,4,3,3,61.0,WEST,4,5,2,1,4,3,6
508.0,8,8,4,7,3,1,3,DIE KANDIDATIN BZW. DEN KANDIDATEN VON BÜNDNIS 90/DIE GRÜNEN,SPD,2,4,3,4,5,5,1,1,1,6,6,5,5,1,2,7,2,6,6,3,5,3,3,7,1,3,-5,5,5,2,5,2,6,48.0,WEST,977,3,1,2,5,4,6
530.0,6,7,4,8,5,2,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,5,1,3,1,1,1,2,3,4,5,5,3,7,1,2,6,4,5,5,3,6,2,1,7,4,0,0,1,0,0,977,0,5,36.0,WEST,3,5,3,1,2,4,6
593.0,8,4,4,6,5,2,4,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,3,1,2,1,1,4,5,5,3,3,4,4,2,3,7,4,4,4,4,4,3,2,7,4,-3,-4,3,-2,5,5,1,4,70.0,OST,3,1,5,2,3,4,6
791.0,6,8,6,5,6,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,4,3,3,1,1,3,2,4,4,6,3,5,1,4,7,3,3,3,3,3,3,3,7,2,-1,-3,2,2,-1,2,0,6,39.0,WEST,7,5,2,1,3,4,6
800.0,7,8,4,6,4,1,6,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,2,2,3,3,1,1,4,1,5,6,6,3,5,1,2,7,4,5,6,3,3,2,2,7,7,4,-5,1,0,-3,2,-1,6,38.0,WEST,10,5,2,1,4,3,6
834.0,7,6,5,5,4,3,5,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,1,1,1,1,1,3,3,4,5,5,4,6,2,977,977,3,7,7,4,4,1,4,7,7,5,0,5,2,5,3,0,2,65.0,WEST,3,3,2,1,4,5,6
866.0,6,6,4,6,4,4,5,DIE KANDIDATIN BZW. DEN KANDIDATEN VON DIE LINKE,SPD,1,1,3,3,1,1,5,4,5,4,4,4,4,1,3,7,4,4,4,4,4,4,4,7,5,-4,-5,4,2,2,3,2,2,62.0,WEST,6,5,2,1,4,3,6
872.0,10,11,3,6,5,1,2,DIE KANDIDATIN BZW. DEN KANDIDATEN DER SPD,SPD,1,2,4,2,1,1,4,5,5,5,5,3,6,2,2,7,4,6,6,3,5,2,3,7,4,0,-5,5,4,-1,4,4,5,64.0,WEST,10,2,3,1,5,4,6
